Phoneme,Count,Top-5 count,Variants
a,23,4,"19x a, 7x aː"
i,20,4,"18x i, 6x iː"
u,20,5,"17x u, 7x uː"
e,17,2,"13x e, 5x eː"
o,17,2,"12x o, 6x oː"
ɔ,10,1,
ɛ,10,2,
ə,6,2,
ɪ,6,2,
ʊ,6,2,
æ,5,1,
ɯ,5,0,
y,4,1,
œ,3,0,
ɤ,3,1,
ʌ,3,1,
