In,Out,Penalty
',,0
ʹ,,0
ʺ,,0
’,,0
“,,0
”,,0
a,a,0
á,a,0
à,a,0
b,b,0
č,C,0
c,ts,0
d,d,0
dt,t,0
dž,j,0
e,e,0
é,e,0
è,e,0
ɛ,e,0
ɛ́,e,0
f,f,0
g,g,0
h,g,1
i,i,0
í,i,0
ì,i,0
ja,ya,0
já,ya,0
je,ye,0
jé,ye,0
jo,yo,0
jó,yo,0
ju,yu,0
jú,yu,0
j,y,0
k,k,0
l,l,0
m,m,0
n,n,0
o,o,0
ó,o,0
ò,o,0
p,p,0
r,r,0
s,s,0
š,S,0
t,t,0
u,u,0
ú,u,0
ù,u,0
v,v,0
x,X,0
y,i,0
ý,i,0
ž,j,0
z,z,0
