In,Out,Penalty
​,,0
',,1
a,a,0
ā,a,0
ã,an,0
ā̃,an,0
āi,ay,0
ai,e,0
a͠i,e,0
au,o,0
b,b,0
bh,b,0
c,C,0
ć,C,0
ch,C,0
d,d,0
ḍ,d,0
dh,d,0
ḍh,d,0
e,e,0
ĕ,e,0
ē,e,0
ẽ,en,0
f,f,0
g,g,0
ġ,g,0
gh,g,0
ḥ,,0
h,h,0
i,i,0
ī,i,0
ĩ,in,0
ī̃,in,0
jh,j,0
j,j,0
kh,k,0
k,k,0
l,l,0
m,m,0
n,n,0
ṅ,n,0
ṇ,n,0
ñ,ny,0
o,o,0
ŏ,o,0
ō,o,0
õ,on,0
oy,oy,0
ph,p,0
p,p,0
q,k,0
ṛh,rh,0
r,r,0
ṛ,r,0
ŕ,ri,0
s,s,0
ś,S,0
š,S,0
ṣ,S,0
th,t,0
ṭh,t,0
t,t,0
ṭ,t,0
u,u,0
ū,u,0
ũ,un,0
ū̃,un,0
v,v,0
x,k,1
y,y,0
ź,j,0
ž,j,0
z,z,0
ẓ,z,0
