ISO 639-1,ISO 639-3,Script
–,cmn,Chinese characters
–,pcm,Latin
–,yue,Chinese characters
am,amh,Geʽez
ar,arb,Arabic
bn,ben,Bengali–Assamese
de,deu,Latin
en,eng,Latin
es,spa,Latin
fa,pes,Perso-Arabic
fr,fra,Latin
ha,hau,Latin
hi,hin,Devanagari
id,ind,Latin
ja,jpn,Kanji/Kana
ko,kor,Hangul
ms,zsm,Latin
ru,rus,Cyrillic
sg,sag,Latin
sw,swh,Latin
ta,tam,Tamil
te,tel,Telugu
th,tha,Thai
tl,tgl,Latin
tr,tur,Latin
ur,urd,Urdu
vi,vie,Latin
yo,yor,Latin
