In,Out,Penalty
',,0
’,,0
a,a,0
b,b,0
ɓ,b,0
c,C,0
d,d,0
ɗ,d,0
e,e,0
ḕ,e,0
f,f,0
g,g,0
h,h,0
i,i,0
j,j,0
k,k,0
ƙ,k,0
l,l,0
m,m,0
n,n,0
o,o,0
ṑ,o,0
r,r,0
r̃,r,0
sh,S,0
s,s,0
ts,s,0
t,t,0
u,u,0
w,w,0
'y,j,1
y,y,0
ƴ,,0
z,z,0
