In,Out,Penalty
',,1
’,,1
a,a,0
â,a,0
ā,a,0
au,ow,0
aw,ow,0
b,b,0
c,C,0
č,C,0
ch,C,0
d,d,0
dh,z,0
d͟h,z,0
ḍ,z,0
ḏ,z,0
e,e,0
ê,e,0
ē,e,0
f,f,0
g,g,0
ğ,g,1
ġ,g,1
gh,g,1
g͟h,g,1
ǧ,j,0
h,h,0
ḩ,h,0
ḥ,h,0
ḫ,X,0
ʻ,,1
i,i,0
î,i,0
ī,i,0
j,j,0
kh,X,0
k͟h,X,0
k,k,0
ḵ,X,0
l,l,0
m,m,0
n,n,0
o,o,0
ô,o,0
ō,o,0
ow,ow,0
p,p,0
q,g,1
r,r,0
sh,S,0
s͟h,S,0
s,s,0
s̄,s,0
s̱,s,0
š,S,0
ṣ,s,0
th,s,0
ṯ,s,0
t,t,0
ţ,t,0
ṭ,t,0
u,u,0
û,u,0
ū,u,0
v,v,0
w,v,0
x,X,0
y,y,0
zh,j,0
z͟h,j,0
ž,j,0
z,z,0
ż,z,0
ẕ,z,0
