In,Out,Penalty
ʼ,,1
ʾ,,1
ʿ,,1
a,a,0
ä,e,0
b,b,0
č̣,C,0
č,C,0
d,d,0
e,e,0
ē,e,0
ə,i,0
f,f,0
g,g,0
ǧ,j,0
h,h,0
ḥ,h,0
ḫ,h,0
ʽ,,1
i,i,0
k,k,0
ḳ,k,0
l,l,0
m,m,0
n,n,0
ñ,ny,0
o,o,0
p,p,0
p̣,p,0
q,k,0
r,r,0
s,s,0
ś,s,0
š,S,0
ṣ,ts,0
ṣ́,ts,0
t,t,0
ṭ,t,0
ua,wa,0
ue,we,0
uē,we,0
ui,wi,0
u,u,0
v,v,0
w,w,0
ʷ,w,0
x,h,0
y,y,0
ž,j,0
z,z,0
