In,Out,Penalty
',,0
­,,0
a,a,0
aa,a,0
ä,e,0
ai,ay,0
au,aw,0
äu,oy,0
b,b,0
cä,tse,0
ce,tse,0
chsch,XS,0
chsh,XS,0
chs,Xs,0
ch,X,0
ci,tsi,0
c,k,0
ck,k,0
cö,tso,0
d,d,0
dsch,j,0
dt,t,0
e,e,0
ee,e,0
ei,ay,0
eu,oy,0
f,f,0
g,g,0
h,h,0
ie,i,0
i,i,0
j,y,0
k,k,0
l,l,0
m,m,0
ng,N,0
n,n,0
o,o,0
ö,o,0
oo,o,0
ph,f,0
p,p,0
q,k,0
qu,kv,0
rh,r,0
r,r,0
sch,S,0
sh,S,0
s,s,0
ssch,sS,0
ss,s,0
ß,s,0
th,t,0
tsch,C,0
t,t,0
tz,ts,0
u,u,0
ü,u,0
v,f,0
w,v,0
x,ks,0
y,y,0
z,ts,0
