In,Out,Penalty
!,!,0
?,?,0
a,a,0
aa,a,0
au,aw,0
b,b,0
c,k,0
ch,C,0
d,d,0
dh,d,1
e,e,0
ee,e,0
f,f,0
g,g,0
gh,g,1
h,h,0
i,i,0
ii,i,0
j,j,0
k,k,0
kh,X,0
l,l,0
m,m,0
n,n,0
ng,Ng,0
ng',N,0
o,o,0
oo,o,0
p,p,0
r,r,0
s,s,0
sh,S,0
t,t,0
th,t,1
u,u,0
uu,u,0
v,v,0
w,w,0
y,y,0
z,z,0
