In,Out,Penalty
',,0
…, ,0
a,a,0
ae,e,0
b,b,0
ch,C,0
d,d,0
e,e,0
eo,o,0
eu,u,0
g,g,0
h,h,0
i,i,0
j,j,0
jj,j,0
k,k,0
l,l,0
m,m,0
ng,N,0
n,n,0
oe,e,0
o,o,0
p,p,0
pp,p,0
r,r,0
s,s,0
ss,s,0
t,t,0
tt,t,0
ui,wi,0
u,u,0
wi,i,0
w,w,0
y,y,0
