In,Out,Penalty
a,a,0
ae,e,0
b,b,0
c,C,0
ch,k,0
d,d,0
e,e,0
ei,ey,0
f,f,0
g,g,0
h,h,0
i,i,0
j,y,0
k,k,0
l,l,0
m,m,0
n,n,0
o,o,0
oe,e,0
p,p,0
ph,f,0
q,k,0
qu,kw,0
r,r,0
rh,r,0
s,s,0
t,t,0
th,t,0
u,u,0
v,v,0
x,ks,0
y,i,0
z,z,0
