In,Out,Penalty
a,a,0
ā,a,0
ai,ay,0
au,aw,0
b,b,0
bh,b,0
c,C,0
ch,C,0
ĉ,ts,0
d,d,0
ḍ,d,0
dh,d,0
ḍh,d,0
e,e,0
ē,e,0
g,g,0
gh,g,0
h,h,0
ḥ,h,0
i,i,0
ī,i,0
jh,j,0
j,j,0
kh,k,0
k,k,0
l,l,0
l̥,l,0
ḷ,l,0
l̥̄,l,0
ḻ,r,0
m,m,0
ṁ,m,0
n̆,,0
n,n,0
ṅ,N,0
ṇ,n,0
ñ,ny,0
o,o,0
ō,o,0
ph,p,0
p,p,0
r,r,0
r̥,r,0
r̥̄,r,0
ṟ,r,0
ṟ̄,r,0
s,s,0
ś,S,0
ṣ,S,0
th,t,0
ṭh,t,0
t,t,0
ṭ,t,0
u,u,0
ū,u,0
v,v,0
y,y,0
z,dz,0
