In,Out,Penalty
',,0
a,a,0
ā,a,0
ã,an,0
b,b,0
bh,b,0
c,C,0
ch,C,0
d,d,0
ḍ,d,0
ḍh,d,0
ê,a,0
e,e,0
ẽ,en,0
g,g,0
gg,g,0
gh,g,0
h,h,0
ḥ,h,0
i,i,0
ī,i,0
ĩ,in,0
jh,j,0
j,j,0
jjh,j,0
kh,k,0
k,k,0
kkh,k,0
l,l,0
m,m,0
n,n,0
ṅ,N,0
ṇ,n,0
ñ,ny,0
ōi,oy,0
o,o,0
ô,o,0
ō,o,0
õ,on,0
ō̃,on,0
ōu,ow,0
ph,p,0
p,p,0
q,k,1
ṛh,r,0
r,r,0
ṛ,r,0
s,s,0
ś,S,0
ṣ,S,0
ṭh,t,0
t,t,0
ṭ,t,0
u,u,0
ū,u,0
ũ,un,0
ẇ,e,0
ẏ,e,0
