In,Out,Penalty
’,,0
a,a,0
ā,a,0
ai,ay,0
au,aw,0
c,C,0
e,e,0
ē,e,0
h,h,0
i,i,0
ī,i,0
j,j,0
k,k,0
l,l,0
ḷ,l,0
ḻ,l,0
m,m,0
n,n,0
ṅ,N,0
ṇ,n,0
ṉ,n,0
ñ,ny,0
o,o,0
ō,o,0
p,p,0
r,r,0
ṟ,r,0
s,s,0
ś,S,0
ṣ,S,0
t,t,0
ṭ,t,0
u,u,0
ū,u,0
v,w,0
y,y,0
