In,Out,Penalty
a,a,0
à,a,0
b,b,0
ch,C,0
d,d,0
dj,j,0
e,e,0
è,e,0
f,f,0
g,g,0
i,i,0
j,j,0
k,k,0
l,l,0
m,m,0
ng,N,0
n,n,0
o,o,0
ò,o,0
ou,u,0
p,p,0
r,g,1
s,s,0
t,t,0
ui,wi,0
v,v,0
w,w,0
y,y,0
z,z,0
