In,Out,Penalty
',,0
a,a,0
ă,a,0
â,a,0
ai,ay,0
ao,aw,0
au,aw,0
ay,ay,0
b,b,0
ch,C,0
c,k,0
đ,d,0
d,z,0
e,e,0
ê,e,0
f,f,0
g,g,1
gh,g,1
gi,z,0
h,h,0
i,i,0
j,z,0
kh,X,0
k,k,0
l,l,0
m,m,0
ngh,N,0
ng,N,0
nh,ny,0
n,n,0
oa,wa,0
oă,wa,0
oe,we,0
oi,oy,0
o,o,0
ô,o,0
ơ,o,0
ph,f,0
p,p,0
q,k,0
qu,kw,0
r,z,0
s,s,0
th,t,0
tr,C,0
t,t,0
u,u,0
ư,u,0
uy,wi,0
v,v,0
w,w,0
x,s,0
y,y,0
z,z,0
