In,Out,Penalty
',,1
ʾ,,1
ʿ,,1
a,a,0
á,a,0
ā,a,0
ay,ay,0
b,b,0
d,d,0
ḍ,d,0
ḏ,d,1
é,a,0
e,e,0
ē,e,0
f,f,0
g,g,0
ġ,g,1
ḡ,g,1
h,h,0
ḥ,h,0
i,i,0
ī,i,0
j,j,0
ḵ,X,0
k,k,0
l,l,0
m,m,0
n,n,0
o,o,0
ō,o,0
q,k,1
r,r,0
s,s,0
š,S,0
ṣ,s,0
t,t,0
ṭ,t,0
ṯ,t,1
u,u,0
ū,u,0
v,v,0
w,w,0
y,y,0
ẓ,d,1
ž,j,0
z,z,0
ʔ,,1
ʕ,,1
