English,Sense,Constraints,Globasa,Glosa,Lidepla
"agree, consent, agreement","to be in harmony about an opinion; be in unison or concord; be united | agree::to yield assent, to accede | to express willingness | understanding to follow a course of conduct | agreement::state whereby several parties share a view | consent::voluntary agreement",,"dongwi, samaijen (sama+ijen), sohovada (soho+vada), tonkarar (ton+karar)","akorda, konsenti","konsenti, konsenta"
"succeed, success",To obtain the object desired; to accomplish what is attempted or intended; to have a prosperous issue or termination; to be successful | achievement of one's aim or goal,,sukses,sucede,"sukses, suksesi, fai sukses"
"-ize, -ify, make (cause or force to do or be)","suffix used to form verbs | forms verbs meaning ""to make"" | to cause to do | make::to force to do | make::to cause to be",Set class:suffix; Syllables:1,"-gi, sengi (sen+gi)",face,"mah-, -isi"
"put, place, set, lay",to place something somewhere | to put in a specific location | to put something down | to place something down in a position of rest,Syllables:1,plasi,"loka, moti, positi","pon, plasi, stavi"
"un-, non-, in-, im-, il-, ir- (negation or opposite)",violative of; contrary to | not | reversal of meaning | – | – | – | –,,nen-,"no-, non-",no-
"de-, dis-, un- (reversal or undoing of an action)","reversal, undoing or removing | reversal or removal | reversal or cancellation",,pos-,"no-, non-","de-, des-"
"away, off",from a place; hence | in a direction away from the speaker or object,,"aw-, of","ab, apo",wek
"take off, remove (e.g. clothes)",to remove | –,"Compound:wek-pon (as in English, Globasa, and Esperanto)","ofgi (of+gi), ofplasi (of+plasi)",,depon (de+pon)
"consider, deem, regard (as)","assign some quality to | to hold in belief or estimation | to consider, look upon in a given way","Add:konside (Similar to #1, the Glosa candidate, but one syllable shorter, like the related English and French candidates)","ganci, kolyo","konsidera, kura puta de","kaulu, pondi, opini"
than,Introduces a comparison,,kom,de,kem
"other, another",not the one previously referred to | other::not the one referred to | not the same; different,,alo,"hetero, altero",otre
blow,to produce an air current,Skip:fuki (neither the Lidepla word nor the related Vietnamese word are most typical for this concept),exhawa (ex+hawa),"fla, tima","fengi, fuki"
as (basis of comparison in equality comparisons),Introducing a basis of comparison,Merge:kom,kom,de,kom
"so, as (to such an extent or degree) ",to a particular extent | to such an extent or degree,Merge:se-ge,denmo (den+mo),iso,tanto
"the, the ... the ..., the more ... the more ... (in conditional comparations)","the + comparative, the + comparative | – | –","Skip:kem tem (unsuitable since ‘tem’ already has a different meaning); Choose:ye (like #1, but with the repeated word listed just once, so we choose it as base form)",folki (fol+ki),"qanto ma ... ma, tem ... gradu",kem ... tem
"narrow, tight",having small width | pushed/pulled together,"Choose:tang (very similar to the auxlang candidate that would otherwise be chosen, but one syllable shorter)","sempay, tange","steno, angusti",tange
fold,bend (thin material) over,Skip:pliga (only related to words from the already well represented Romance languages); Skip:plika (likewise); Skip:pligi (likewise),perfleksi (per+fleksi),plika,"pligi, pliga"
"give up, quit, abandon","stop, quit, desist | give up::abandon | to give up, stop doing something | to give up control of, surrender",Syllables:3,"teslimu, esto, estocu (esto+cu)","sto, abandona, ki ab",kwiti
"try, attempt","to attempt | try::to make an experiment | try::to taste, sample, etc | try::an attempt | to try | attempt::the action of trying at something","Skip:traisa (derived, not the base form); Skip:tenta (related German and French words are not the most typical ones)",xidu,"tenta, peira","trai, traisa (trai+sa)"
"shine, glow",to emit light | shine::to reflect light | to emit heat and light without a flame,"Choose:brili (very similar to the otherwise chosen -a form, but we prefer -i since this is fundamentally a verb)",brila,"lampa, lumi, radia, brila, resplende, stilbo, kandi","lumi, brili, glan, glansa"
"immediately, instantly, right away, at once",in an immediate manner | at once | very soon | immediately,,fori,imedia,tuy
"confess, admit, confession",to admit to the truth | to concede as true | open admittance | confession::disclosure of one's sins to a priest,"Choose:konfesi (very similar to the otherwise chosen -a form, but we prefer -i since this is fundamentally a verb)",etiraf,konfesi,"konfesi, konfesa"
