English,Sense,Constraints,Globasa,Glosa,Lidepla
"in, at, on (a place, time, language etc.)","into, towards | in::indicating language, script, or tone | in::during a period of time | in or very near a particular place | at::indicating time | at the date of ",Merge:in,"in, fe","in, ad, tem, to, topo",in
when (in relative clauses),"at which, on which, during which",Merge:in da ('in' is used for both place and time),"denwatu, fe da",kron,wen
"when, as (conjunction)","at what time; at which time | when::during the time that | when::as soon as, at the time that | at the same instant that",Compound:tem ke (similar to Globasa and Glosa),"durki (dur+ki), denwatu hu","kron, tem","al, wen"
