English,Sense,Constraints,Globasa,Glosa,Lidepla
by (creator or doer),indicates creator of a work | indicates the agent of a passive verb,,fal,ex,bay
"with, by, by means of",by means of | indicates a means | by using,,yon,per,bay
one (placeholder for noun),impersonal pronoun; one thing or person,Skip:pe (only used for persons),,"pe, ra",wan
