English,Sense,Constraints,Globasa,Glosa,Lidepla
any,at least one (kind),Merge:ban,,,
"someone, somebody",some person | some unspecified person,Compound:ban-ta,,,
somewhere,in some place | to some place,Compound:ban-lok,,,
"sometime, someday, some day, one day",at an indefinite but stated time in the past or future | sometime; at some time in the future | – | at unspecified time in the future,Compound:ban-tem,,,
"somehow, in some way",in one way or another; in some way not yet known or designated | –,Compound:ban-ge,,,
"someone's, somebody's, of something",possessive case of ''someone'' | belonging to somebody (possessive form of ''somebody'') | –,Compound:ban-su,,,
