English,Sense,Constraints,Globasa,Glosa,Lidepla
"can, may (ability or permission)",may | have permission to,Merge:pote,harizin (har+izin),,darfi
"must, have to (necessity or requirement)",be required to | obligation ,"Skip:musi (the related Lidepla candidate is very similar, but one syllable shorter)",musi,nece,"mus, treba"
"should, ought (recommendation or moral expectation)",expressing obligation | indicating duty or obligation ,,ingay,debi,"gai, treba"
"certainly, definitely, surely, undoubtedly, must","without doubt, surely | without question and beyond doubt | certainly, undoubtedly | without doubt | said about something that is very likely, probable, or certain to be true",Compound:mus-ge (we use an adverb for the epistemic construction to distinguish it from the situational verb),yakin,"certa, sura, nemertes","sertem, zaruu"
"probably, likely, should",in all likelihood | – | expressing likelihood,Compound:gai-ge (we use an adverb for the epistemic construction to distinguish it from the situational verb),dayible (day+ible),"posi, probabili","shayad, probablem"
"maybe, perhaps, possibly, may, might ","indicating a lack of certainty | indicating a lack of certainty | – | possibly, but not certainly | indicator of conditional or possible actions",Compound:pote-ge (we use an adverb for the epistemic construction to distinguish it from the situational verb),ible,posi,"mogbi, avos, shayad"
