English,Sense,Constraints,Globasa,Glosa,Lidepla
"who, whom, which, that (general relative clause marker)","who (relative pronoun) | relative pronoun (object) | (relative) who, whom, what | which",,"hu, da, hu ... da",qi,"kel, ti ... na"
whose (in relative clauses),of whom (relative) | of which (relative),Compound:da-su (as in Globasa),dasu,de qi,kel-ney
where (in relative clauses),at or in which place | at or in what place,Compound:in da (as in Globasa),"denloka, in da","topo, to",
