English,Sense,Constraints,Globasa,Glosa,Lidepla
north,compass point | of or pertaining to the north,,"utara, utarali (utara+li)","nord, boreo","norda, norda-ney, norde"
"quarrel, argue, argument, altercation, dispute","to argue strongly, contend, squabble | quarrel::dispute or heated argument | to have an argument, a quarrel | verbal dispute; a quarrel | (countable) angry or heated dispute | argument, failure to agree",Skip:disputa (Lidepla also has the -i form which we prefer for a verbal root),xijere,"disputa, alterka, jurga, litiga, argu","kwereli, kwerela, disputi, disputa"
"more, -er (modifies adjectives or adverbs) ",word to form a comparative | more::comparative of much//adv | used to form the comparative of adjectives,Syllables:1,max,"ma, malo",pyu
"many, much",an indefinite large number of | a large amount of,,multi,"multi, poli, miria, sikno",mucho
"a lot, much",very much | to a great extent,Compound:poli-ge,multi,mega,mucho
"many people, many",– | an indefinite large number of people or things,Compound:poli-ta,,,
"many things, many, a lot",– | an indefinite large number of people or things | many things,Compound:poli-it,,,
more (modifies nouns),comparative of many | comparative of much//det,"Compound:pyu de (similar to Esperanto, with ‘de’ indicating that a noun phrase follows)",,,
strong,capable of producing great physical force | having a high concentration of an essential or active ingredient,,bala,"forti, fo, steno",forte
"travel, journey, trip, voyage","be on a journey | travel::act of traveling | to travel, to make a trip or voyage | journey::trip, a voyage | journey | long journey; especially by ship",,turi,"viagia, itinera, iti",safari
"-er (someone who does something, whether currently, frequently, or professionally)",(used to form agent nouns) person or thing that does... | person whose occupation is...,Skip:pe (not ideal since it’s only used for persons/people),-yen,-pe,-jen
"traveller, traveler",one who travels | –,Compound:turi-yen,,,
come,to move nearer,,ata,veni,lai
wrap,"to enclose completely in fabric, paper, etc","Skip:lifafa (not ideal since the directly related words mean ‘envelope, wrapper, wrapping’ rather than a verb or verbal noun)",lifafa,involve,kuti
-ed (passive participle),passive participle,,-do,ge-,-ney
"cloak, mantle",cape | clothing like an open robe or cloak,"Choose:manto (very similar to mantol, which would otherwise be selected, but a bit shorter and shared by four languages)","kapa, mantol","toga, palia, klamido, mantela, palio",mantela
or,conjunction,,or,alo,"o, oda"
