English,Sense,Constraints,Globasa,Glosa,Lidepla
"then (at that time, in that case)",at that time | in that case,Compound:to-tem,denwatu (den+watu),"u-la kron, u-la-tem, tum",dan-ney
"everyone, everybody",every person | all people,Compound:ol-ta,moyte (moy+te),panto-pe,"kadawan (kada+wan), oli"
"always, ever",at all times | always,Compound:ol-tem,moywatu (moy+watu),"panto-tem, panto-kron, semper ",sempre
everywhere,at all places,Compound:ol-lok,moyloka (moy+loka),panto-lo,kadalok (kada+lok)
"everyone's, everybody's",– | possessive form of everybody,Compound:ol-su,moysu (moy+su),,
