English,Sense,Constraints,Globasa,Glosa,Lidepla
"myself, yourself, himself, herself, itself, ourselves, yourselves, themselves, oneself (reflexive or emphatic)","me, reflexive form of me | myself::in apposition with I; personally | (reflexive) your own self | yourself::you, used emphatically | (reflexive) male person as the previously mentioned object | himself::(emphatic, exclusive) he | (reflexive object) her | herself::(as intensifier) she | (reflexive) it | itself::(emphatic) it | reflexive: us | ourselves::emphatic: we | you (referring to the people being spoken to, previously mentioned) | yourselves::intensifier | the reflexive case of they, the third-person plural personal pronoun | themselves::emphatic: they | a person's self: general form of himself, herself, themself or yourself","Add:sel (hybrid between the overall best candidate 'se', which already has a different meaning, and the best eligible candidate 'selfa')","se, he","auto, se","swa, selfa"
"each other, one another","to one another; one to the other | idiomatic, reciprocal pronoun",,soho,alelo,mutu
