English,Sense,Constraints,Globasa,Glosa,Lidepla
"number (quantity, amount, mathematical or grammatical concept)","quantity | abstract entity used to describe quantity | mathematics: number | grammar: state of being singular, dual or plural",Skip:numera (Not ideal since it doesn't distinguish quantity from position); Skip:numer (Not ideal since it doesn't distinguish quantity from position),numer,"numera, aritme, cifra",namba
"how many, how much",what number//det | what quantity,Syllables:1,"kenumer (ke+numer), kekwanti (ke+kwanti)",qanto,kwanto
"number (position in sequence or identifier, e.g. of a house or phone)",used to show the rank of something in a list or sequence,,numer,numera,numer 
