English,Sense,Constraints,Globasa,Glosa,Lidepla
-ly (turns content words into adverbs),used to form adverbs from adjectives,Syllables:1; Skip:em (suffix should start with a consonant for phonetical reasons),-li,–; -mode,"-m, -em, -nem, -shem"
(optional subject marker),subject marker,,,,da
(optional object marker),object marker,,el,,den
